trial,1-exe,1-uintr,2-exe,2-uintr,3-exe,3-uintr,4-exe,4-uintr,5-exe,5-uintr,6-exe,6-uintr,7-exe,7-uintr,8-exe,8-uintr,9-exe,9-uintr,10-exe,10-uintr,11-exe,11-uintr,12-exe,12-uintr,13-exe,13-uintr,14-exe,14-uintr,15-exe,15-uintr,16-exe,16-uintr
1,1.386487296,135004,2.832997632,275857,4.281775616,416841,5.782241792,562841,7.272724992,707860,8.849622016,861353,10.571614208,1028904,12.201304576,1187227,13.95167232,1357566,15.631867392,1521090,17.299651072,1683373,19.096774656,1858278,20.725013248,2016972,22.404966144,2180783,24.281176064,2362707,26.028718336,2532630
2,1.38612992,134977,2.831364352,275726,4.280121344,416698,5.764379392,561097,7.27388672,707989,8.8594048,862205,10.503519232,1022007,12.196074752,1186680,13.840506624,1346995,15.606198528,1518848,17.364480256,1689723,19.023534848,1851266,20.726956544,2017153,22.474777088,2187076,24.272013056,2361732,26.031292416,2532952
3,1.38569472,134966,2.832251648,275795,4.27980672,416677,5.756003584,560283,7.27512448,708088,8.856641792,862052,10.59468928,1030940,12.235376128,1190836,13.813673472,1344106,15.631908352,1521273,17.33874304,1687226,19.054468608,1854039,20.730413568,2017420,22.550942976,2194334,24.106763776,2346431,26.035843072,2533386
4,1.385788928,134964,2.833511936,275921,4.284961024,417168,5.761973248,560866,7.282114048,708781,8.842039552,860597,10.482675456,1020221,12.25305216,1192298,13.880178176,1350593,15.603068928,1518299,17.332939264,1686582,19.059506944,1854502,20.739530752,2018349,22.538264576,2193143,24.268534528,2361438,26.034499072,2533205
5,1.385401856,134935,2.833612544,275916,4.275857664,416283,5.763463936,560989,7.284059648,708973,8.876807936,863897,10.521593856,1023836,12.189021696,1186362,13.7989632,1342839,15.5854016,1516794,17.381364224,1691363,19.018502144,1850808,20.729548032,2017360,22.51186816,2190676,24.276872448,2362245,26.018547968,2531645
